Designator,Footprint,Quantity,Value,LCSC Part #
BT501,MPD_BC2032-E2,1,Battery_Cell,
"C201, C402, C407, C501, C503, C505, C506, C507, C509",0603,9,10uF,
"C202, C203, C302, C303, C304, C403, C404, C405, C406, C408, C502, C504, C508, C510, C511, C512, C513",0402,17,100nF,
C204,CP_EIA-3216-18_Kemet-A,1,22uF_P,
"C205, C206, C207, C208, C212, C213",0603,6,2.2uF,
"C209, C210, C214, C215, C401",0603,5,22uF,
C211,0603,1,DNP,
C301,0603,1,4u7F,
C305,0603,1,1nF,
"D201, D202, D203",D_SOD-123,3,1N5819HW-7-F,
D204,D_SOD-323F,1,"PMEG1030EJ,115",
"D205, D210, D211, D212",0603,4,LED,
"D206, D207, D208, D209",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,
"F201, F202, F203",0805,3,3A,
"FB201, FB202, FB203",0603,3,120R,
"H101, H102, H103, H104",MountingHole_3.2mm_M3,4,MountingHole,
IC201,SOT95P270X145-5N,1,MCP73831T-2ACI_OT,
IC301,QFN50P500X500X80-29N-D,1,CP2102N-A02-GQFN28R,
IC401,ESP32S3WROOM1N16R8,1,ESP32-S3-WROOM-1-N16R8,
IC501,VEML7700,1,VEML7700-TT,
IC502,SOIC127P600X175-8N,1,DS3231MZ+TRL,
J201,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch_Pin3Ring,
J202,BM02B-GHS-TBT_1,1,BM02B-GHS-TBT_LF__SN__N_,
"J301, J302",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0,
"J401, J402, J403",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
J404,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J405,TF01A,1,TF-01A,
L201,MWSA0603S,1,15uH,
Q201,SOT-23,1,DMG3415U-7,
"Q401, Q402",SOT-23,2,SS8050,
"R201, R205, R210, R211",0402,4,100kR,
R202,0402,1,22kR,
"R203, R207, R208, R209",0402,4,510R,
"R204, R303, R304, R305, R306, R504, R505",0402,7,5k1R,
"R206, R401, R402, R403, R405, R408, R409",0805,7,0R,
R301,0402,1,1kR,
R302,0402,1,22k1R,
R307,0402,1,47k5R,
R308,0603,1,"DNP, 1MR",
"R404, R406, R407, R410, R411, R412, R413, R414, R501, R502, R503, R506, R507, R508, R509, R510",0402,16,10kR,
RLO501,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,LDR,
"SW401, SW402, SW501, SW502, SW503",SW_PUSH_6mm_H5mm,5,~,
U201,SOT-223-3_TabPin2,1,AMS1117-3.3,
U202,SOT-23-5,1,TLV62569DBV,
"U301, U302",SOT-23-6,2,USBLC6-2SC6,
U401,ST7735S,1,~,
U501,BME280,1,~,
U502,TO-92_Inline,1,DS18B20,
U503,TO-92_Inline,1,LM35-LP,
U504,DHT11,1,DHT11,
U505,ENS160+AHT2x,1,~,
