Designator,Mid X,Mid Y,Rotation,Layer
BT501,23.5625,-38.25,180.0,bottom
C201,26.225,-73.25,180.0,top
C202,26.25,-71.5,180.0,top
C203,22.5,-71.5,0.0,top
C204,22.0,-73.25,180.0,top
C205,43.75,-68.75,90.0,top
C206,41.75,-68.75,90.0,top
C207,76.0,-63.025,90.0,top
C208,74.0,-63.0,90.0,top
C209,17.75,-64.75,90.0,top
C210,10.75,-64.75,90.0,top
C212,61.0,-63.0,90.0,top
C213,59.0,-63.0,90.0,top
C214,6.0,-64.25,180.0,top
C215,2.5,-64.25,0.0,top
C301,64.75,-49.75,180.0,top
C302,64.75,-51.25,180.0,top
C303,65.25,-62.25,90.0,top
C304,50.25,-62.25,90.0,top
C305,75.75,-73.0,270.0,top
C401,32.5,-1.0,180.0,top
C402,32.5,-2.75,180.0,top
C403,35.04,-1.18,90.0,top
C404,75.75,-39.0,0.0,top
C405,73.75,-41.5625,90.0,top
C406,64.5,-39.0,0.0,top
C407,63.25,-20.0,270.0,top
C408,64.75,-20.0,270.0,top
C501,35.5,-10.5,180.0,top
C502,32.975,-8.76,270.0,top
C503,9.0,-20.0,0.0,top
C504,9.0,-18.5,0.0,top
C505,24.75,-8.5,270.0,top
C506,24.75,-12.0,90.0,top
C507,17.525,-16.5,180.0,top
C508,17.525,-18.0,180.0,top
C509,6.5,-10.75,90.0,top
C510,8.0,-10.75,90.0,top
C511,50.75,-55.5,270.0,top
C512,39.5,-55.5,270.0,top
C513,62.25,-55.5,270.0,top
D201,42.75,-64.25,270.0,top
D202,71.75,-62.25,270.0,top
D203,56.75,-62.25,270.0,top
D204,3.8,-55.125,180.0,top
D205,3.8,-58.436,0.0,top
D206,81.05,-44.9,0.0,top
D207,81.0,-50.9,0.0,top
D208,80.95,-56.85,0.0,top
D209,80.95,-62.85,0.0,top
D210,24.24,-57.75,180.0,top
D211,17.26,-57.75,180.0,top
D212,69.25,-9.0,180.0,top
F201,42.75,-73.25,0.0,top
F202,75.0,-67.5,0.0,top
F203,60.0,-67.5,0.0,top
FB201,42.75,-71.25,0.0,top
FB202,75.0,-65.5,0.0,top
FB203,60.0,-65.5,0.0,top
IC201,4.25,-61.5,0.0,top
IC301,69.5,-54.5,270.0,top
IC401,50.5,0.01,0.0,top
IC501,5.425,-16.3,0.0,top
IC502,23.25,-18.5,0.0,top
J201,36.35,-64.05,0.0,top
J202,5.25,-46.5,270.0,top
J301,67.5,-71.0,0.0,top
J302,52.5,-71.0,0.0,top
J401,15.48,-1.75,90.0,top
J402,69.73,-3.75,270.0,top
J403,2.25,-15.44,0.0,top
J404,2.25,-33.75,180.0,top
J405,74.9,-19.49,90.0,top
L201,14.5,-70.75,180.0,top
Q201,3.8,-51.8125,270.0,top
Q401,71.5,-44.0,270.0,top
Q402,67.5,-45.0,90.0,top
R201,13.25,-62.0,180.0,top
R202,15.5,-62.0,180.0,top
R203,3.8,-56.936,0.0,top
R204,6.0,-58.5,90.0,top
R205,1.3,-51.865,270.0,top
R206,81.25,-40.75,180.0,top
R207,21.49,-57.75,180.0,top
R208,14.5,-57.75,180.0,top
R209,66.5,-9.0,180.0,top
R210,25.25,-51.5,180.0,top
R211,25.25,-52.75,0.0,top
R301,64.75,-55.0,0.0,top
R302,64.75,-53.75,0.0,top
R303,61.25,-70.25,90.0,top
R304,73.75,-70.25,90.0,top
R305,46.25,-70.25,90.0,top
R306,58.75,-70.25,90.0,top
R307,64.74,-52.5,180.0,top
R308,74.0,-73.0,270.0,top
R401,37.54,-1.18,0.0,top
R402,75.0,-53.0,0.0,top
R403,75.0,-55.5,0.0,top
R404,75.25,-41.5625,90.0,top
R405,74.5,-44.5625,90.0,top
R406,69.7,-46.75,0.0,top
R407,69.25,-42.25,180.0,top
R408,64.5,-44.5,90.0,top
R409,53.25,-22.75,180.0,top
R410,66.5,-23.5,180.0,top
R411,66.5,-19.0,180.0,top
R412,66.5,-21.5,180.0,top
R413,66.5,-17.75,180.0,top
R414,66.5,-25.5,180.0,top
R501,32.975,-5.76,90.0,top
R502,32.0,-18.51,90.0,top
R503,32.0,-21.26,270.0,top
R504,24.75,-5.75,90.0,top
R505,14.25,-12.75,0.0,top
R506,33.5,-21.26,270.0,top
R507,33.5,-18.52,90.0,top
R508,50.75,-52.5,270.0,top
R509,39.5,-52.5,270.0,top
R510,62.25,-52.5,270.0,top
RLO501,36.675,-7.25,0.0,top
SW401,78.5,-34.5,180.0,top
SW402,67.25,-34.5,180.0,top
SW501,45.0,-53.75,0.0,top
SW502,34.0,-53.75,0.0,top
SW503,56.5,-53.75,0.0,top
U201,24.0,-66.0,270.0,top
U202,14.25,-64.75,180.0,top
U301,68.0,-62.25,270.0,top
U302,53.0,-62.25,270.0,top
U401,45.21,-26.75,0.0,top
U501,11.135,-50.055,90.0,top
U502,28.48,-7.0,180.0,top
U503,28.48,-13.25,0.0,top
U504,16.02,-7.5,0.0,top
U505,16.76,-25.75,0.0,top
